	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	V128	V129	V130	V131	V132	V133	V134	V135	V136	V137	V138	V139	V140	V141	V142	V143	V144	V145	V146	V147	V148	V149	V150	V151	V152	V153	V154	V155	V156	V157	V158	V159	V160	V161	V162	V163	V164	V165	V166	V167	V168	V169	V170	V171	V172	V173	V174	V175	V176	V177	V178	V179	V180	V181	V182	V183	V184	V185	V186	V187	V188	V189	V190	V191	V192	V193	V194	V195	V196	V197	V198	V199	V200
PAX8	224.059	167.828	146.34	206.926	231.432	180.883	247.927	151.879	146.918	165.667	145.681	251.87	237.896	247.443	229.394	145.217	186.489	202.894	212.782	155.551	152.102	139.756	173.711	147.839	190.817	174.272	155.651	125.486	140.201	143.792	154.724	283.868	192.136	237.355	350.81	148.489	145.306	253.483	239.314	162.342	138.083	122.616	178.115	147.182	157.836	185.93	134.783	137.329	131.662	131.725	129.918	171.928	150.748	103.073	74.6754	202.724	276.212	253.798	243.657	158.421	165.009	200.018	187.129	136.872	201.267	162.05	125.948	195.653	153.595	180.713	124.746	220.032	166.955	135.314	214.024	224.392	138.362	199.558	162.729	147.535	233.83	266.72	152.377	131.75	172.053	177.508	151.798	120.321	114.781	120.705	141.46	130.058	227.225	135.065	140.663	216.125	289.207	280.635	141.838	171.696	162.199	204.762	175.638	116.774	316.197	165.027	155.089	179.702	186.267	174.304	139.971	165.576	208.079	161.598	120.394	165.597	110.093	112.135	142.201	230.155	139.98	231.228	347.947	221.078	176.634	205.976	128.981	194.18	75.6931	102.552	147.615	276.732	177.764	128.838	137.507	196.126	224.344	148.804	272.832	233.17	197.277	132.784	75.5991	145.24	310.896	130.817	171.747	200.962	181.24	188.013	196.924	171.2	179.45	146.34	183.936	135.034	227.329	133.866	121.46	151.431	119.434	167.074	212.441	130.449	245.861	162.886	191.289	241.808	213.954	209.693	216.129	191.292	241.442	127.905	187.636	138.408	198.858	159.404	199.453	183.482	139.571	163.702	364.318	225.823	257.737	220.867	283.82	268.17	306.94	169.772	185.484	140.866	192.045	195.222	184.195	136.372	145.487	120.331	138.37	150.195
ESRRA	79.3121	80.0743	79.7268	88.9986	82.6951	102.474	102.028	71.4607	85.1927	69.0093	82.6057	102.651	99.5072	90.2626	82.4801	86.4268	85.4039	105.469	97.0625	97.1746	93.3681	100.531	90.4979	153.45	93.2437	93.7051	87.9168	84.7718	99.0583	120.322	68.6542	124.931	85.7631	105.094	94.1627	94.5119	77.8368	88.2897	97.2831	85.8326	87.4454	118.409	83.4582	98.5974	158.063	77.3999	109.074	82.4564	84.6939	67.1777	67.4815	115.014	71.1794	106.231	88.0444	124.521	114.153	104.142	102.763	71.3803	127.523	110.205	82.1717	87.9612	80.8249	87.9128	113.736	96.8111	99.0333	94.8769	109.397	81.0085	128.322	109.045	110.37	105.638	116.875	89.7262	71.2217	95.3901	120.908	112.784	98.9594	79.3814	110.151	103.787	77.89	94.7343	99.061	73.3992	100.714	97.2262	85.8999	94.0101	71.1679	84.8985	101.641	86.8114	64.4841	91.4326	125.368	103.91	133.636	71.2994	118.991	111.782	119.156	79.1544	90.4963	84.4152	81.2826	76.0312	125.781	64.1262	85.7762	79.1174	92.1618	104.624	114.794	101.273	85.1551	92.8089	104.739	101.515	120.823	128.644	94.2535	89.6728	147.175	137.47	107.875	214.723	78.3614	93.4472	95.2939	144.716	161.096	147.349	155.896	97.4436	73.9	70.6144	65.0147	87.1191	118.867	117.423	126.924	95.2116	137.507	152.395	139.471	110.409	92.7112	114.823	111.637	141.276	119.352	107.146	135.332	140.752	161.894	91.3002	110.858	103.902	129.297	99.3505	103.113	102.344	131.503	116.209	84.5842	101.447	118.533	106.775	102.44	90.0621	85.165	77.7933	104.19	105.552	99.2066	120.703	133.33	89.8919	92.229	96.6282	95.3274	78.8301	81.9973	87.7293	94.6558	87.0212	106.173	87.1828	92.8499	88.4935	67.6518	66.0618	64.5103	69.3164
HDAC9	9.25468	10.4169	10.7951	9.33504	10.5719	10.9046	10.8536	8.8211	9.3863	10.0209	9.52047	10.9046	10.1079	12.1999	10.8881	10.1042	9.04571	10.4154	11.6049	9.81932	9.80024	10.2901	9.07116	10.646	9.97836	8.75399	9.2068	9.77274	10.5104	10.2524	10.5856	9.53626	10.3317	11.3764	10.2916	11.5824	10.6522	11.9787	10.2015	9.39442	10.0375	9.38224	9.39036	10.8255	10.5392	9.39374	11.2242	9.77626	10.4794	9.47462	8.47717	9.87822	9.97261	8.54216	7.97993	10.0795	12.7802	11.2834	10.9668	9.03594	10.3854	9.24736	9.90601	11.2614	9.74953	9.07313	9.75024	8.87209	11.2234	9.49034	9.3863	10.0723	8.80967	9.37616	10.5111	10.0991	10.6208	9.68582	9.73269	9.62599	11.2226	11.0032	11.2226	9.08032	11.4381	11.8833	10.5392	9.8889	9.45145	10.1232	10.6345	8.3788	11.6133	8.73824	10.8959	9.64126	11.1685	10.3982	9.96615	10.8286	9.75727	9.57619	11.4827	10.9384	10.6039	9.27872	9.74181	8.54031	13.8253	11.3674	9.7946	9.2921	9.01643	9.15191	12.726	10.7122	10.7091	10.874	10.2324	9.39848	10.5005	8.65366	10.1261	10.1093	11.7057	11.564	9.78401	10.1021	7.37989	9.49102	9.82003	10.9069	9.83136	8.90924	9.90244	9.91315	11.3086	9.5287	15.4209	10.4711	9.47531	9.37008	6.89565	7.68871	10.7811	11.2379	10.1305	9.29946	10.45	10.2968	9.80165	10.1678	11.6317	9.13676	8.87401	12.2131	9.37683	9.01903	9.32563	9.36603	8.98142	8.81221	9.07574	10.0991	12.1202	11.1967	10.8505	9.53489	10.9969	10.5187	10.7354	9.6066	9.34985	9.54244	10.0108	10.444	10.9921	9.15785	10.5673	8.70055	11.1581	8.70933	9.54726	12.1832	11.7335	10.3258	11.2988	11.1774	10.0411	9.05354	9.63501	9.40457	9.40119	11.3855	9.6496	10.328	9.99779	10.7014	10.0144	9.35524
FOXP2	16.383	14.1825	18.7	19.4713	16.9583	19.1637	19.418	18.3662	14.3015	15.2871	14.9624	19.6502	23.8458	18.2619	18.7864	17.1363	17.2193	17.3438	21.0726	17.1549	15.6763	15.2124	16.5467	13.7251	13.3525	14.2439	12.5883	13.0802	14.102	14.6045	13.4345	22.1834	14.4746	14.69	16.5706	16.9864	18.929	15.9348	18.7027	14.7112	13.4277	16.4386	17.8818	17.3163	18.5938	17.8663	16.706	15.6842	16.9143	14.7887	16.2022	16.7012	14.0959	16.2572	16.5765	15.3268	17.5448	17.8637	19.0111	14.6519	14.4517	14.6868	16.6196	15.6955	11.9709	15.682	15.9119	17.5727	15.2761	14.8849	14.7855	15.3954	16.7711	16.1777	18.8637	14.2768	16.1323	13.249	14.7887	17.9398	16.137	16.7832	14.8817	21.1502	15.8695	15.9946	16.9986	14.2953	14.6657	16.9729	15.0445	12.6995	16.8365	15.3058	16.6603	20.3872	19.6022	15.6166	16.0258	16.9534	16.1498	16.4504	19.7724	14.6509	21.3816	15.5896	18.5657	15.0369	12.3378	15.6684	15.8352	12.1097	14.1876	15.0066	18.157	16.5562	17.5841	14.531	13.2892	13.8283	15.8935	14.435	17.5486	16.7542	16.8183	14.2173	18.2264	13.1577	13.0604	14.026	15.6707	17.9528	12.99	14.5877	15.0934	19.5134	17.2988	14.9624	20.9018	19.9498	14.4683	14.871	12.192	16.0004	16.5718	16.1579	15.9394	17.6539	24.5129	18.9345	23.155	15.6211	16.7977	15.0792	19.4222	17.3901	13.3112	14.4018	18.3384	14.958	14.5384	15.7738	15.5907	14.4236	17.9683	19.519	16.706	16.1416	16.7084	14.5793	17.4541	15.1773	13.4811	18.2264	14.6129	15.4888	18.1243	19.2287	18.3754	14.4413	15.2486	14.1835	16.0431	15.8136	17.3538	15.6256	18.3107	15.7635	18.2843	17.7739	14.3355	18.1282	16.4991	17.6171	13.7152	16.3253	18.3662	13.0069	16.1754	11.0254
NOX5	12.9452	13.1985	13.729	13.152	12.8773	16.4386	12.8393	10.1341	10.4391	11.7963	10.0201	15.5179	15.6121	14.0361	14.5425	13.1957	11.8158	13.1293	13.2033	13.9927	13.1596	12.2219	11.5266	13.0256	13.6207	13.7995	14.8266	12.8208	12.5286	13.8323	11.8167	12.9098	13.6649	14.7973	11.7776	13.5619	14.2531	10.3243	13.2452	11.4035	10.2753	14.5101	12.4449	12.9825	15.4487	12.5666	11.1862	11.1573	10.4199	11.909	12.5034	11.9813	12.9126	11.1532	12.419	13.1577	11.6527	12.5947	12.3672	11.952	11.6275	13.7379	12.5412	12.7251	14.3005	13.0397	12.1727	13.3016	11.4827	11.5624	11.62	16.6316	12.9536	14.2521	13.0219	13.067	13.2442	12.462	11.6024	12.7178	16.8268	11.9193	12.6337	15.4198	14.4997	12.3147	10.6537	13.1208	13.5482	12.6666	12.0003	12.6328	14.0563	12.8819	13.4568	14.2429	13.5785	13.4607	12.0288	11.6577	12.9508	11.2671	13.0069	12.4136	11.8048	15.5918	14.5656	12.2008	12.3147	13.4452	14.5028	12.3743	11.3453	10.7509	12.7637	13.2214	13.5991	13.2085	12.453	13.4665	12.7857	12.8838	13.5482	12.4853	13.4621	11.4777	10.8881	11.9916	11.6796	13.1767	11.6049	14.0675	11.7234	11.8696	12.4656	13.0745	11.5009	13.0623	12.028	12.8518	11.0397	12.2316	13.6452	11.9571	15.5218	12.436	13.7211	13.7399	14.1142	15.6888	14.2716	13.5404	11.7912	13.3217	11.1597	14.6061	11.1524	10.0788	12.1307	14.2758	14.0553	13.3901	12.3116	12.8217	15.8444	11.9614	13.8443	14.0604	12.5142	14.5122	12.444	13.4176	15.7999	10.0991	14.7909	10.5362	14.9926	14.8603	9.76852	12.6428	11.3225	15.2865	13.3102	17.9153	18.7229	14.3976	17.8534	16.2034	14.1651	15.889	11.8533	12.5947	15.2047	14.4122	13.6501	12.6574	13.2137	10.8991	11.2485	14.2511
GATA4	18.5323	19.4825	27.1829	24.9549	37.0999	22.1387	34.5359	18.731	22.5833	17.5701	23.0469	35.4894	28.9642	29.923	30.0873	22.1259	20.7427	22.7958	25.7401	21.4417	23.2235	22.1196	20.6503	15.0228	14.4997	17.7329	19.1457	22.7139	22.1866	13.8662	19.6913	25.197	19.4236	20.2642	21.5098	20.9712	31.2809	23.6422	27.134	24.5271	20.2423	20.1187	18.2409	23.4252	23.15	24.612	24.3756	20.2642	14.5982	19.5697	20.5287	22.0305	17.6463	16.0177	17.0391	24.0754	38.4829	29.5395	34.8157	21.5719	18.6139	23.5979	25.3499	20.0377	19.9901	24.8615	23.15	23.8166	21.3123	24.0372	19.1347	26.0179	21.4417	19.891	20.1129	19.581	19.5613	19.4544	18.2777	20.4696	20.1942	20.7338	16.4102	20.4342	25.6143	26.688	20.9742	19.4138	21.8251	24.6866	19.9987	19.4068	27.8911	23.1467	21.4016	19.5472	32.9179	29.8239	22.9838	18.4311	22.8073	25.3535	20.6711	22.7663	23.6218	24.0095	21.4541	20.0666	19.46	24.9136	24.1136	20.6741	23.8836	19.2204	22.6387	21.5874	25.1208	23.2168	18.0007	19.9944	18.2619	18.283	18.6072	19.4488	23.9612	24.211	25.1933	22.1674	11.6863	16.7494	26.7304	28.1293	20.235	19.0659	21.0286	21.7435	22.5086	22.0115	35.8646	42.0912	22.0829	23.8922	17.9566	17.1821	32.3163	22.3181	19.9268	23.5606	22.8616	24.365	21.4077	20.9455	22.4406	25.119	20.9787	22.2346	17.0907	18.519	22.1227	17.3713	21.5905	19.8251	18.5751	19.2647	31.2223	19.9082	25.6697	26.4202	22.6191	26.424	31.7075	22.4924	25.9935	19.557	21.4448	21.4448	20.8446	22.257	24.6653	23.5267	31.6641	17.7023	21.3093	34.8207	40.1829	29.2916	37.0304	31.4957	28.9225	20.686	23.7515	18.626	21.7482	25.6143	25.9486	23.3309	18.4524	20.3901	18.7094	19.1872
CSF3R	307.588	211.691	289.567	270.216	197.459	219.519	230.126	209.596	327.013	193.292	256.279	117.06	317.038	170.126	216.784	246.873	233.87	316.49	280.006	198.171	195.069	318.273	150.298	488.763	239.17	249.484	255.523	235.426	204.967	236.139	207.224	329.805	344.424	295.808	311.109	332.669	191.518	256.15	453.675	191.642	231.357	689.752	182.427	597.579	1048.52	260.542	219.25	189.146	161.584	100.588	256.556	171.38	237.692	348.593	285.712	122.231	147.19	265.967	198.543	334.64	268.334	571.515	224.865	191.863	427.957	405.621	185.302	245.702	90.5248	259.232	209.264	231.557	212.027	279.905	159.651	727.786	398.898	588.013	443.207	542.898	408.495	752.201	425.007	248.604	187.153	364.596	225.336	217.692	263.772	178.874	284.07	287.074	110.305	202.735	102.482	719.652	138.406	276.299	309.991	359.096	359.691	362.344	433.574	310.259	637.428	433.481	119.937	287.654	314.308	263.449	342.864	385.811	344.151	395.179	288.338	484.171	229.382	246.34	83.7602	746.532	375.852	243.201	769.523	505.16	415.171	252.158	331.568	387.79	345.468	718.667	471.741	126.888	371.865	202.969	429.563	170.58	159.663	189.432	177.769	175.504	177.015	267.35	230.907	267.6	162.143	303.537	210.626	269.205	237.967	339.986	197.601	220.216	409.143	213.683	163.163	99.9374	997.243	205.914	269.205	201.105	260.542	343.037	261.407	250.51	334.929	419.924	268.237	162.576	176.722	161.223	239.066	107.682	255.192	193.042	287.902	208.798	99.6785	255.192	250.926	154.67	211.142	278.357	464.925	214.547	176.582	151.036	273.23	222.577	221.329	236.633	325.438	198.958	357.341	304.15	196.211	190.994	202.239	219.013	242.798	209.717
ATM	17.1784	15.5223	18.5083	18.2107	21.2556	17.0428	24.1449	24.5306	18.9072	21.7091	16.8559	28.9621	28.0321	26.9217	20.8101	22.3148	17.512	17.8444	17.103	17.1858	16.6723	19.0549	15.9302	20.1013	10.9589	14.5415	20.9545	20.6831	17.8882	13.7439	20.8942	14.1233	16.5372	13.2796	14.9107	16.2197	17.9851	16.5634	18.8664	16.5264	18.8909	14.9236	18.1504	17.2926	16.7458	20.4932	21.756	25.7883	19.5895	24.2949	21.0909	19.8509	23.2855	15.9405	15.4721	14.0068	16.7591	18.0318	16.7844	15.6639	17.6768	15.2475	20.2117	19.6616	20.7502	20.9969	16.3264	17.4176	21.9213	18.1596	19.2592	19.4488	17.2515	27.7528	19.0165	17.1277	15.4265	15.3345	17.3525	18.7688	17.4981	16.3629	18.515	23.2436	18.9468	17.5158	22.3535	14.9926	23.9525	16.7675	22.9805	18.4311	18.3437	18.3041	20.6072	17.0047	31.5479	19.8652	17.3463	14.9602	20.4696	18.7526	17.5259	15.5571	17.6031	18.2225	16.1103	20.3241	24.7151	20.0333	17.6946	18.7337	20.6131	21.6903	30.5724	18.823	22.3776	15.6537	16.0431	17.1499	19.7752	17.9411	21.5641	15.5941	22.4325	19.0206	19.255	21.6139	12.507	15.9256	18.2356	18.3767	23.8819	21.0256	25.9729	15.3378	17.2466	16.2104	21.1975	19.3929	25.2296	16.3323	15.3467	17.9773	19.2065	19.351	15.3444	18.3648	20.3182	15.9486	18.2488	18.1557	16.2947	14.6635	16.822	17.1326	18.394	18.2199	21.8834	17.9644	18.1204	16.7229	15.3754	16.862	15.7931	18.6233	16.422	18.8664	19.6984	19.7382	14.5247	18.2593	21.3492	21.0833	22.0416	21.4989	23.3141	18.8162	19.7653	23.4286	26.4259	15.6008	17.9024	20.6518	18.6973	22.6257	24.9243	18.8637	26.1005	18.0292	15.9027	19.46	15.6729	17.7189	22.5801	28.3612	25.8497	18.1622	24.0407	21.2663
SP1	11.4496	12.1267	12.3596	11.2545	12.3178	15.3516	12.6451	12.466	11.2165	11.8333	13.0393	11.5386	11.9429	11.6909	13.2657	11.1063	10.5571	9.77802	12.2127	17.9845	16.0552	21.9631	12.3935	17.7336	12.7632	14.2075	10.9183	10.5799	12.0371	15.5487	16.3682	18.351	15.5913	15.66	15.6611	12.5942	12.2762	8.35559	12.5268	11.2586	10.1623	23.8931	13.7157	13.4205	13.8179	10.5563	12.4123	12.0849	12.7908	16.4131	13.3645	16.6034	15.893	14.7658	12.132	13.304	13.3347	12.2921	17.1666	15.3616	18.1963	14.8501	9.39002	10.6864	13.7305	12.3454	14.5567	12.7724	14.364	12.9019	14.5347	13.8657	13.0854	12.8638	10.7586	20.1789	18.2929	14.8823	12.7931	16.3694	14.7967	17.2945	15.0147	11.8231	11.1569	12.4391	13.5487	9.76535	12.3391	11.257	13.5292	19.0021	12.4333	11.9073	12.1845	13.198	12.1346	11.5928	13.4786	16.5509	14.5546	12.2294	12.0971	16.1167	12.3756	19.4888	21.6038	14.8769	16.3447	12.5354	12.6369	15.5913	13.2586	14.3516	17.4283	14.5651	11.6964	14.8523	16.8626	16.1783	14.863	12.6406	12.5607	16.8323	13.4544	11.9498	12.6442	13.785	22.9169	15.1932	12.084	15.8501	13.7726	12.8166	15.8255	13.0486	13.013	12.9019	12.6233	12.5824	11.1147	12.0875	19.0193	12.9746	12.7054	12.8777	13.7226	17.2366	12.9396	18.4079	12.83	18.8834	14.3671	13.3011	11.0159	13.1198	17.5695	13.9499	12.4984	14.1524	12.9699	11.5886	16.6573	14.9478	13.8198	12.0466	13.8822	13.8897	10.3541	12.511	10.4602	12.0744	12.8425	16.8967	14.1045	11.9533	14.5661	10.0632	12.2285	13.3237	11.3367	12.6287	12.1933	13.2543	13.0017	11.1874	13.2719	12.5969	12.4535	12.8037	15.1844	14.1973	16.8918	13.2643	13.972	15.8518	14.0791	18.3245	13.0788	16.5616
TWIST2	10.9676	10.259	12.4844	11.4976	11.1677	14.4039	13.1	10.6899	9.47257	9.40661	11.3723	13.5005	14.6066	13.5073	13.5131	12.8393	10.686	10.5734	12.5765	12.0853	11.7895	11.1621	12.5883	10.6047	10.985	11.1292	10.0635	11.0373	12.8694	14.8485	10.7385	12.3067	10.0483	10.6284	10.925	10.189	16.4066	10.6483	11.1814	9.85902	10.2857	9.08294	10.8881	10.9258	12.4656	12.0857	11.1171	12.1228	10.6016	10.2994	9.07182	10.8787	9.87466	10.1414	10.1934	11.7378	12.3832	14.2614	14.7957	12.3422	11.4331	10.5021	11.5407	12.2678	12.0059	11.6998	11.4208	9.6677	10.5559	10.559	11.6821	14.5698	14.856	10.9431	12.5756	10.94	9.93388	9.95179	11.4612	10.1006	10.1553	10.45	10.375	9.49581	9.93603	13.42	10.8294	11.054	12.2687	10.6675	11.2048	10.1964	16.6064	12.7095	11.1895	11.0111	13.5024	11.6485	9.99203	13.3265	13.3833	14.4231	10.7951	12.5205	12.8199	14.5394	11.7801	10.7586	10.4824	11.2177	12.2846	10.9313	11.7475	10.3168	9.8647	11.0334	12.1902	12.5938	10.8873	9.93746	8.81856	8.95816	9.60383	10.8959	12.9042	14.615	10.9069	10.1071	11.4274	10.6937	10.8559	11.9193	9.41135	12.1097	9.667	11.0748	12.6921	11.8901	14.5425	10.9218	10.6706	13.1	9.41338	10.2797	12.1797	11.179	14.1559	13.9373	15.9958	11.6821	11.5524	11.2258	14.7302	11.844	12.5602	13.0783	10.3529	9.39374	10.5407	10.5933	10.559	9.83419	10.0664	8.58782	13.6482	12.3707	12.3032	9.97333	11.7971	13.3563	11.5511	11.1742	11.2185	10.217	9.16841	13.391	12.7329	10.581	11.4719	9.63362	11.7623	9.42017	10.9613	13.3419	11.6468	12.2687	12.3467	13.228	11.9813	12.9414	11.2113	13.3333	10.3922	11.6229	12.806	13.9253	11.6485	9.95896	10.9211	9.30751
CYP19A1	6.57401	6.47996	8.93238	7.40172	7.17025	9.64335	6.91705	6.22776	7.64067	7.48592	7.35812	7.60771	6.8235	6.87333	6.58586	8.83446	6.72346	7.97303	6.62823	6.86393	6.47483	7.57927	6.77793	10.3072	8.7288	6.71426	6.38174	7.10904	6.24708	8.02837	7.24607	10.6269	6.17682	7.31004	8.03879	6.91256	8.42663	7.34753	6.18305	7.7198	6.41863	7.37936	7.82845	7.0033	6.4683	6.4404	7.0306	7.19457	7.10391	6.99674	5.79068	7.24033	7.01238	7.46868	8.39996	7.79356	6.85158	8.33665	7.42041	8.53355	6.84418	6.68771	7.51294	6.8887	7.25547	7.15271	6.87581	7.79525	6.51977	7.65445	7.90839	7.56345	7.80705	6.70218	7.0519	7.45148	6.5584	7.24711	7.08552	6.83334	6.33456	6.90758	7.50482	6.9041	8.11443	7.63407	7.6132	6.56171	7.23199	7.60717	7.47407	7.21273	7.19872	6.05259	8.28815	7.24555	7.38468	7.24033	7.47407	6.95452	7.21221	7.24137	6.99321	6.19956	6.64305	7.62747	7.37564	6.71958	7.32322	7.90554	7.90155	7.06207	7.14807	7.47353	7.08705	7.91352	7.73204	6.76622	7.29058	6.44318	6.68578	6.17905	6.69253	7.50698	8.34266	7.24085	7.57108	6.68867	10.1539	5.75201	7.74096	7.70368	6.65023	8.9009	7.15786	7.21377	6.83334	7.74598	8.74391	7.1718	8.71623	8.09575	10.8481	6.45713	7.33483	7.99086	7.09215	7.69425	8.80649	8.34807	10.1341	7.59129	7.20183	9.0921	7.44397	6.82399	6.68915	7.29373	6.28954	7.42522	6.7711	6.15816	7.63242	6.4683	7.77058	8.5872	6.92952	6.49305	7.13058	7.39479	7.45578	8.0806	8.64556	5.5866	6.06744	7.6998	7.12801	6.88175	9.34783	6.78966	8.07827	9.09734	7.22209	7.19561	6.92353	6.6627	6.93851	6.65023	7.7661	8.31686	6.79162	6.84122	7.2696	7.06207	7.5482	7.10033	6.47063	6.80435	6.22238	6.17726
HDAC4	23.8819	22.8641	25.805	19.9239	29.241	22.6959	30.6672	17.6361	23.0087	22.0496	20.6845	23.7241	37.4085	27.873	25.7382	24.989	25.7735	32.7889	27.7988	23.9129	21.3615	26.2911	20.9984	25.2296	20.8326	29.5395	20.0579	24.9279	31.3553	29.3402	23.007	37.0038	21.7811	24.2897	27.9515	20.8912	29.9273	24.7347	20.9274	16.5574	19.6219	23.6925	28.4267	23.82	26.9101	28.8123	18.8637	23.1717	20.8056	20.8386	18.5417	22.9772	17.0231	35.2739	19.5486	25.9449	26.9431	26.4335	26.293	25.1788	24.2494	25.2106	18.5724	25.1299	22.8797	18.5083	19.5937	26.8946	18.7364	21.2051	22.563	27.5675	26.6515	24.3861	25.2133	18.3424	18.8135	23.9456	23.125	21.7984	23.4962	23.6116	25.3554	26.1966	20.8521	22.2266	24.7258	25.7846	21.4078	22.6224	17.9275	20.5642	21.7138	21.7811	20.0348	27.5556	20.5065	27.873	28.6549	23.378	25.3773	35.6046	32.2233	20.1855	24.3914	26.7458	29.3677	20.3285	24.2076	26.2362	25.8814	28.0019	22.1387	22.9375	23.5861	26.0986	26.2778	27.4763	22.7237	22.3341	24.4133	18.9857	22.6836	25.6604	28.1455	27.5734	25.3499	22.4746	28.5149	19.1941	24.344	29.0206	21.5408	20.0319	20.6117	29.1526	25.8553	23.4742	37.8341	27.1849	23.4454	20.6176	34.6056	21.4232	23.9784	25.1353	31.1168	31.7097	29.1715	29.6675	25.7438	28.7936	30.1198	28.8019	27.9595	27.5635	18.4192	23.2838	20.4269	29.1568	27.0267	23.7583	20.5479	24.2198	26.2457	22.5719	21.4108	20.8717	24.5341	22.1036	21.3677	27.7328	31.9574	20.3828	23.0253	19.6828	19.1416	21.4664	22.8962	19.9268	26.1777	24.8365	29.3444	29.1107	26.2968	35.4561	24.4776	27.1262	22.6583	22.4551	22.6273	19.6942	25.4395	24.6848	27.503	27.2437	20.1549	23.2637	20.0579	20.7069
NR1H4	9.51567	8.54277	10.3533	9.61144	12.1455	9.60314	11.3265	8.5903	8.85612	9.16444	10.2184	11.4027	9.75586	11.229	12.453	10.0563	10.4447	10.4635	11.2598	8.53847	8.16958	8.82555	11	9.33034	10.3907	10.778	10.9455	8.99308	11.7818	10.676	9.54382	16.1219	7.90839	9.72778	10.1949	9.1856	11.2218	9.24868	9.31891	8.45461	8.42663	8.51083	9.9604	10.3354	10.5149	10.6675	9.62808	11.7006	9.52115	8.58349	7.82225	8.92209	8.15311	7.95467	8.64805	8.24883	13.0642	12.7031	14.8186	10.2369	9.45689	8.66676	11.5632	9.51704	10.2568	9.09669	9.54382	11.7776	10.2376	7.87711	8.22035	11.3233	9.41881	9.33841	9.30282	9.16709	9.03855	11.1935	7.83353	8.96849	9.19421	10.0759	10.4779	8.88808	8.90924	10.0216	9.71448	9.40322	8.74076	9.95968	8.90026	10.5559	10.2524	9.90672	9.25269	10.6729	13.6846	9.12557	8.24526	9.33168	8.96074	8.6356	8.30548	9.27805	10.6645	7.8437	9.11375	9.03985	10.1232	9.48009	13.229	9.87608	8.18136	8.97301	8.34026	10.3473	8.8574	9.34446	7.98453	9.23603	10.0665	9.61144	9.36401	9.40389	10.9179	10.863	10.4447	11.0206	12.0688	9.56103	9.66561	10.7138	9.03855	8.05618	10.6798	10.0948	8.97108	9.32496	11.5624	18.3741	9.3337	13.2156	11.8005	9.34177	11.0572	9.43851	9.43239	9.00929	9.85831	9.78401	7.70813	9.48214	8.42542	9.40457	8.64431	9.57412	8.08293	9.34716	8.36734	8.07013	8.56558	8.91502	9.52596	9.48282	9.14532	9.16775	9.68582	9.95394	9.57826	10.1319	8.3933	9.46985	9.38157	8.44608	9.19023	9.8066	10.1692	12.7251	12.4629	8.74832	9.77978	10.105	7.96672	11.365	11.9623	13.366	14.4329	10.7679	12.6156	10.4289	8.36734	9.26202	9.20746	11.9373	9.88676	10.5255	8.837	9.68163	8.90282	8.67426
